"","geo_id","tract","tract_num","less10","10to19","20to29","30to39","40to59","60to89","90plus","total_outside","workedhome","total","avgcommute"
"128","08005006000","Census Tract 60, Arapahoe County, Colorado",6000,233,224,503,172,176,10,49,1367,69,1436,"25"
"129","08005006100","Census Tract 61, Arapahoe County, Colorado",6100,201,319,349,447,112,19,72,1519,53,1572,"27"
"130","08005006200","Census Tract 62, Arapahoe County, Colorado",6200,244,302,550,301,171,40,0,1608,46,1654,"23"
"131","08005006300","Census Tract 63, Arapahoe County, Colorado",6300,148,330,300,385,164,11,29,1367,47,1414,"26"
"132","08005006400","Census Tract 64, Arapahoe County, Colorado",6400,289,512,391,354,201,25,82,1854,56,1910,"28"
"133","08005006501","Census Tract 65.01, Arapahoe County, Colorado",6501,263,299,355,295,106,20,0,1338,84,1422,"21"
"134","08005006502","Census Tract 65.02, Arapahoe County, Colorado",6502,243,502,395,404,209,92,88,1933,115,2048,"28"
"135","08005006601","Census Tract 66.01, Arapahoe County, Colorado",6601,479,697,698,547,456,86,20,2983,86,3069,"24"
"136","08005006603","Census Tract 66.03, Arapahoe County, Colorado",6603,145,431,329,364,188,99,22,1578,91,1669,"27"
"137","08005006604","Census Tract 66.04, Arapahoe County, Colorado",6604,388,757,421,449,146,31,14,2206,75,2281,"21"
"138","08005006704","Census Tract 67.04, Arapahoe County, Colorado",6704,215,561,438,262,28,0,28,1532,223,1755,"20"
"139","08005006705","Census Tract 67.05, Arapahoe County, Colorado",6705,44,200,241,100,14,7,8,614,215,829,"22"
"140","08005006706","Census Tract 67.06, Arapahoe County, Colorado",6706,324,898,450,262,106,114,27,2181,395,2576,"21"
"141","08005006707","Census Tract 67.07, Arapahoe County, Colorado",6707,381,741,321,526,194,109,19,2291,336,2627,"23"
"142","08005006708","Census Tract 67.08, Arapahoe County, Colorado",6708,385,894,401,341,328,91,36,2476,305,2781,"24"
"143","08005006709","Census Tract 67.09, Arapahoe County, Colorado",6709,368,783,486,349,324,128,0,2438,218,2656,"23"
"144","08005006711","Census Tract 67.11, Arapahoe County, Colorado",6711,355,581,365,259,186,30,29,1805,193,1998,"22"
"145","08005006712","Census Tract 67.12, Arapahoe County, Colorado",6712,93,185,138,57,8,41,0,522,125,647,"20"
"146","08005006713","Census Tract 67.13, Arapahoe County, Colorado",6713,258,247,147,113,117,38,0,920,45,965,"20"
"147","08005006808","Census Tract 68.08, Arapahoe County, Colorado",6808,328,718,662,503,335,9,21,2576,334,2910,"23"
"148","08005006815","Census Tract 68.15, Arapahoe County, Colorado",6815,509,797,408,173,240,34,0,2161,209,2370,"18"
"149","08005006854","Census Tract 68.54, Arapahoe County, Colorado",6854,109,265,439,274,132,33,0,1252,125,1377,"24"
"150","08005006855","Census Tract 68.55, Arapahoe County, Colorado",6855,269,687,649,417,235,151,8,2416,325,2741,"24"
"151","08005006856","Census Tract 68.56, Arapahoe County, Colorado",6856,485,1382,1050,616,322,211,26,4092,139,4231,"22"
"152","08005006857","Census Tract 68.57, Arapahoe County, Colorado",6857,140,325,287,105,88,34,12,991,123,1114,"22"
"153","08005006858","Census Tract 68.58, Arapahoe County, Colorado",6858,290,909,623,345,182,163,42,2554,250,2804,"23"
"154","08005007101","Census Tract 71.01, Arapahoe County, Colorado",7101,181,280,399,280,664,414,70,2288,154,2442,"37"
"155","08005007103","Census Tract 71.03, Arapahoe County, Colorado",7103,6,78,227,145,248,45,38,787,126,913,"36"
"156","08005007104","Census Tract 71.04, Arapahoe County, Colorado",7104,587,560,359,524,317,76,40,2463,242,2705,"23"
"157","08005007105","Census Tract 71.05, Arapahoe County, Colorado",7105,72,538,463,403,606,140,57,2279,106,2385,"32"
"158","08005007106","Census Tract 71.06, Arapahoe County, Colorado",7106,182,429,761,746,442,257,45,2862,204,3066,"31"
