"","county","distcode","district","schoolcode","school","cohort","gradrate"
"161","ARAPAHOE","0123","SHERIDAN 2","8123","Soar Academy","20162017","0.41860465116279"
"162","ARAPAHOE","0123","SHERIDAN 2","8123","Soar Academy","20152016","0.54761904761904701"
"163","ARAPAHOE","0123","SHERIDAN 2","8123","Soar Academy","20142015","0.58974358974358898"
"164","ARAPAHOE","0123","SHERIDAN 2","8123","Soar Academy","20132014","0.49019607843137197"
"165","ARAPAHOE","0123","SHERIDAN 2","9998","DISTRICT TOTAL","20162017","0.7265625"
"166","ARAPAHOE","0123","SHERIDAN 2","9998","DISTRICT TOTAL","20152016","0.76106194690265405"
"167","ARAPAHOE","0123","SHERIDAN 2","9998","DISTRICT TOTAL","20142015","0.80909090909090897"
"168","ARAPAHOE","0123","SHERIDAN 2","9998","DISTRICT TOTAL","20132014","0.76229508196721296"
"169","ARAPAHOE","0130","CHERRY CREEK 5","0000","Summer District Dropouts","20162017","0"
"170","ARAPAHOE","0130","CHERRY CREEK 5","0000","Summer District Dropouts","20152016","0"
"171","ARAPAHOE","0130","CHERRY CREEK 5","0000","Summer District Dropouts","20142015","0"
"172","ARAPAHOE","0130","CHERRY CREEK 5","0000","Summer District Dropouts","20132014","0"
"173","ARAPAHOE","0130","CHERRY CREEK 5","1551","Cherokee Trail High School","20162017","0.93313953488372003"
"174","ARAPAHOE","0130","CHERRY CREEK 5","1551","Cherokee Trail High School","20152016","0.93693693693693603"
"175","ARAPAHOE","0130","CHERRY CREEK 5","1551","Cherokee Trail High School","20142015","0.93467336683417002"
"176","ARAPAHOE","0130","CHERRY CREEK 5","1551","Cherokee Trail High School","20132014","0.94034536891679699"
"177","ARAPAHOE","0130","CHERRY CREEK 5","1570","Cherry Creek High School","20162017","0.94638694638694598"
"178","ARAPAHOE","0130","CHERRY CREEK 5","1570","Cherry Creek High School","20152016","0.95673076923076905"
"179","ARAPAHOE","0130","CHERRY CREEK 5","1570","Cherry Creek High School","20142015","0.95885714285714196"
"180","ARAPAHOE","0130","CHERRY CREEK 5","1570","Cherry Creek High School","20132014","0.96449026345933497"
"181","ARAPAHOE","0130","CHERRY CREEK 5","2357","Eaglecrest High School","20162017","0.91059602649006599"
"182","ARAPAHOE","0130","CHERRY CREEK 5","2357","Eaglecrest High School","20152016","0.90848585690515804"
"183","ARAPAHOE","0130","CHERRY CREEK 5","2357","Eaglecrest High School","20142015","0.92136752136752098"
"184","ARAPAHOE","0130","CHERRY CREEK 5","2357","Eaglecrest High School","20132014","0.91338582677165303"
"185","ARAPAHOE","0130","CHERRY CREEK 5","2653","Endeavor Academy","20162017","0.47089947089946999"
"186","ARAPAHOE","0130","CHERRY CREEK 5","2653","Endeavor Academy","20152016","0.71739130434782605"
"187","ARAPAHOE","0130","CHERRY CREEK 5","2653","Endeavor Academy","20142015","0.76666666666666605"
"188","ARAPAHOE","0130","CHERRY CREEK 5","2653","Endeavor Academy","20132014","0.45454545454545398"
"189","ARAPAHOE","0130","CHERRY CREEK 5","3589","Grandview High School","20162017","0.937402190923317"
"190","ARAPAHOE","0130","CHERRY CREEK 5","3589","Grandview High School","20152016","0.94556765163296996"
"191","ARAPAHOE","0130","CHERRY CREEK 5","3589","Grandview High School","20142015","0.95606060606060606"
"192","ARAPAHOE","0130","CHERRY CREEK 5","3589","Grandview High School","20132014","0.94599018003273305"
"193","ARAPAHOE","0130","CHERRY CREEK 5","6367","Options School","20162017","0"
"194","ARAPAHOE","0130","CHERRY CREEK 5","6367","Options School","20152016","0"
"195","ARAPAHOE","0130","CHERRY CREEK 5","6367","Options School","20142015","0"
"196","ARAPAHOE","0130","CHERRY CREEK 5","6367","Options School","20132014","0"
"197","ARAPAHOE","0130","CHERRY CREEK 5","6625","Overland High School","20162017","0.88076923076922997"
"198","ARAPAHOE","0130","CHERRY CREEK 5","6625","Overland High School","20152016","0.86186770428015502"
"199","ARAPAHOE","0130","CHERRY CREEK 5","6625","Overland High School","20142015","0.87387387387387305"
"200","ARAPAHOE","0130","CHERRY CREEK 5","6625","Overland High School","20132014","0.86091549295774605"
"201","ARAPAHOE","0130","CHERRY CREEK 5","8020","Smoky Hill High School","20162017","0.91337099811676004"
"202","ARAPAHOE","0130","CHERRY CREEK 5","8020","Smoky Hill High School","20152016","0.88932806324110603"
"203","ARAPAHOE","0130","CHERRY CREEK 5","8020","Smoky Hill High School","20142015","0.90208333333333302"
"204","ARAPAHOE","0130","CHERRY CREEK 5","8020","Smoky Hill High School","20132014","0.91803278688524503"
"205","ARAPAHOE","0130","CHERRY CREEK 5","9998","DISTRICT TOTAL","20162017","0.90042110478077697"
"206","ARAPAHOE","0130","CHERRY CREEK 5","9998","DISTRICT TOTAL","20152016","0.91183177096529"
"207","ARAPAHOE","0130","CHERRY CREEK 5","9998","DISTRICT TOTAL","20142015","0.92755156002115202"
"208","ARAPAHOE","0130","CHERRY CREEK 5","9998","DISTRICT TOTAL","20132014","0.92610710607621005"
"209","ARAPAHOE","0140","LITTLETON 6","0298","Arapahoe High School","20162017","0.93838028169013998"
"210","ARAPAHOE","0140","LITTLETON 6","0298","Arapahoe High School","20152016","0.95357142857142796"
"211","ARAPAHOE","0140","LITTLETON 6","0298","Arapahoe High School","20142015","0.94188376753506997"
"212","ARAPAHOE","0140","LITTLETON 6","0298","Arapahoe High School","20132014","0.98363636363636298"
"213","ARAPAHOE","0140","LITTLETON 6","3930","Heritage High School","20162017","0.88266666666666604"
"214","ARAPAHOE","0140","LITTLETON 6","3930","Heritage High School","20152016","0.92274678111587904"
"215","ARAPAHOE","0140","LITTLETON 6","3930","Heritage High School","20142015","0.91966759002770004"
"216","ARAPAHOE","0140","LITTLETON 6","3930","Heritage High School","20132014","0.95305164319248803"
"217","ARAPAHOE","0140","LITTLETON 6","5224","Littleton High School","20162017","0.83489096573208699"
"218","ARAPAHOE","0140","LITTLETON 6","5224","Littleton High School","20152016","0.86571428571428499"
"219","ARAPAHOE","0140","LITTLETON 6","5224","Littleton High School","20142015","0.86516853932584203"
"220","ARAPAHOE","0140","LITTLETON 6","5224","Littleton High School","20132014","0.89534883720930203"
"221","ARAPAHOE","0140","LITTLETON 6","9998","DISTRICT TOTAL","20162017","0.895569620253164"
"222","ARAPAHOE","0140","LITTLETON 6","9998","DISTRICT TOTAL","20152016","0.92078488372093004"
"223","ARAPAHOE","0140","LITTLETON 6","9998","DISTRICT TOTAL","20142015","0.91282894736842102"
"224","ARAPAHOE","0140","LITTLETON 6","9998","DISTRICT TOTAL","20132014","0.95075757575757502"
"225","ARAPAHOE","0170","DEER TRAIL 26J","2140","Deer Trail Junior-Senior High School","20162017","0.85714285714285698"
"226","ARAPAHOE","0170","DEER TRAIL 26J","2140","Deer Trail Junior-Senior High School","20152016","1"
"227","ARAPAHOE","0170","DEER TRAIL 26J","2140","Deer Trail Junior-Senior High School","20142015","1"
"228","ARAPAHOE","0170","DEER TRAIL 26J","2140","Deer Trail Junior-Senior High School","20132014","1"
"229","ARAPAHOE","0170","DEER TRAIL 26J","9998","DISTRICT TOTAL","20162017","0.85714285714285698"
"230","ARAPAHOE","0170","DEER TRAIL 26J","9998","DISTRICT TOTAL","20152016","1"
"231","ARAPAHOE","0170","DEER TRAIL 26J","9998","DISTRICT TOTAL","20142015","1"
"232","ARAPAHOE","0170","DEER TRAIL 26J","9998","DISTRICT TOTAL","20132014","1"
"233","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","0000","Summer District Dropouts","20162017","0"
"234","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","0000","Summer District Dropouts","20152016","0"
"235","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","0000","Summer District Dropouts","20142015","0"
"236","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","0000","Summer District Dropouts","20132014","0"
"237","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","0219","Aps Online School","20162017","0.27868852459016302"
"238","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","0219","Aps Online School","20152016","0.31034482758620602"
"239","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","0219","Aps Online School","20142015","0.41666666666666602"
"240","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","0219","Aps Online School","20132014","0.30303030303030298"
"241","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","1458","Aurora Central High School","20162017","0.51272015655577197"
"242","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","1458","Aurora Central High School","20152016","0.60845588235294101"
"243","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","1458","Aurora Central High School","20142015","0.67500000000000004"
"244","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","1458","Aurora Central High School","20132014","0.66988416988416899"
"245","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","3354","Gateway High School","20162017","0.60340632603406297"
"246","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","3354","Gateway High School","20152016","0.730582524271844"
"247","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","3354","Gateway High School","20142015","0.71355498721227595"
"248","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","3354","Gateway High School","20132014","0.66749999999999998"
"249","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","4024","Hinkley High School","20162017","0.689393939393939"
"250","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","4024","Hinkley High School","20152016","0.80891719745222901"
"251","ARAPAHOE","0180","ADAMS-ARAPAHOE 28J","4024","Hinkley High School","20142015","0.78269617706237404"
