id,geoid10,nhid,nhname,createdAt,updatedAt
222,8005084700,150,Mission Viejo,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
223,8005084800,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
224,8005084900,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
225,8005085000,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
226,8005085100,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
227,8005085200,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
228,8005085300,155,Heritage Eagle Bend,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
229,8005085400,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
230,8005085500,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
231,8005085600,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
232,8005085700,156,Summer Valley Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
233,8005085800,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
234,8005085900,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
235,8005086000,155,Heritage Eagle Bend,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
236,8005086100,155,Heritage Eagle Bend,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
237,8005086200,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
238,8005086300,122,Centennial Airport,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
239,8005086400,127,Southeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
240,8005086500,155,Heritage Eagle Bend,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
241,8005086600,155,Heritage Eagle Bend,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
242,8005086700,155,Heritage Eagle Bend,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
243,8005086800,86,Sullivan,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
244,8005086900,86,Sullivan,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
245,8005087000,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
246,8005087100,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
247,8005087200,86,Sullivan,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
248,8005087300,86,Sullivan,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
