nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
128,dist3,3926,HERITAGE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000440D6D00363A5AC0D8B2B5BE48CC4340
129,dist1,6955,PINE RIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000030535A7F4B2C5AC0F018C91EA1CC4340
129,dist2,1155,BUFFALO TRAIL ELEMENTARY SCHOOL,Preschool,6th Grade,ARAPAHOE,01010000008469183E222D5AC0E054DD239BCF4340
129,dist3,4448,BLACK FOREST HILLS ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000014EA77616B2C5AC0486DA983BCCA4340
13,dist1,1056,BROMWELL ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000090F0BDBF413D5AC0E0BEB9BF7ADC4340
13,dist2,8222,STECK ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,01010000004807EBFF1C3C5AC078FA415DA4DC4340
13,dist3,8776,TELLER ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,01010000007869C361693C5AC04041D47D00DE4340
130,dist1,6806,PARR ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,01010000005C76887FD8435AC0282F3201BFEC4340
130,dist2,1550,COLORADO PREP ACADEMY,Kindergarten,12th Grade,ADAMS,0101000000781211FE45435AC0A8531EDD08ED4340
130,dist3,5222,LITTLE ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000347A354069445AC0285454FD4AED4340
131,dist1,2799,EXCEL ACADEMY CHARTER SCHOOL,Kindergarten,12th Grade,JEFFERSON,0101000000A4923A014D485AC028AED51EF6EC4340
131,dist2,5758,MEIKLEJOHN ELEMENTARY,Preschool,6th Grade,JEFFERSON,0101000000B01666A19D495AC0609DD5027BEC4340
131,dist3,7870,SIERRA ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000D4E8D500A5475AC03038BC2022EB4340
132,dist1,7870,SIERRA ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000D4E8D500A5475AC03038BC2022EB4340
132,dist2,5145,LINCOLN CHARTER ACADEMY,Preschool,8th Grade,JEFFERSON,010100000060889CBE9E475AC0B09E05A1BCE94340
132,dist3,2799,EXCEL ACADEMY CHARTER SCHOOL,Kindergarten,12th Grade,JEFFERSON,0101000000A4923A014D485AC028AED51EF6EC4340
133,dist1,5145,LINCOLN CHARTER ACADEMY,Preschool,8th Grade,JEFFERSON,010100000060889CBE9E475AC0B09E05A1BCE94340
133,dist2,1238,CAMPBELL ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000BC07E8BE9C475AC078368FC360E84340
133,dist3,3216,FREMONT ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000C86471FF91485AC0A8F8BF232AE84340
134,dist1,2946,FITZMORRIS ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000B40D6ABFB5465AC0004E2844C0E74340
134,dist2,6828,PECK ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,010100000070E5EC9DD1455AC070300DC347E84340
134,dist3,109,ARVADA K-8,Kindergarten,8th Grade,JEFFERSON,0101000000040C923EAD455AC09826DE019EE64340
135,dist1,148,ALLENDALE ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000FCF675E09C475AC010CCD1E3F7E64340
135,dist2,9058,VANDERHOOF ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000D815FA6019485AC0B0471ADCD6E64340
135,dist3,1238,CAMPBELL ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000BC07E8BE9C475AC078368FC360E84340
136,dist1,6139,MOUNTAIN PHOENIX COMMUNITY SCHOOL,Preschool,8th Grade,JEFFERSON,01010000007815527E52475AC0D8BBB1A030E44340
136,dist2,148,ALLENDALE ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000FCF675E09C475AC010CCD1E3F7E64340
136,dist3,6848,PENNINGTON ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,01010000003C9E961FB8465AC080423D7D04E44340
137,dist1,9429,WEST WOODS ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,01010000009402D2FE074C5AC068C47762D6E94340
137,dist2,5758,MEIKLEJOHN ELEMENTARY,Preschool,6th Grade,JEFFERSON,0101000000B01666A19D495AC0609DD5027BEC4340
137,dist3,9052,VAN ARSDALE ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,01010000008CDB68006F495AC040AAEFFCA2EA4340
138,dist1,2589,ELDORADO K-8 SCHOOL,Kindergarten,8th Grade,BOULDER,0101000000F8CC9200354A5AC0C86A9E23F2F54340
138,dist2,5758,MEIKLEJOHN ELEMENTARY,Preschool,6th Grade,JEFFERSON,0101000000B01666A19D495AC0609DD5027BEC4340
138,dist3,9678,WITT ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000344DD87E32475AC0A0DAA7E331F14340
139,dist1,8300,STOTT ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000A48CB80034495AC0209FC9FE79E84340
