"","nbhd","gradrate","grad.perc","cmasprof","cmas.perc","schoolquality"
"124","Congress Park",NA,NA,59.4833333333333,0.85,0.85
"125","Conservatory",NA,NA,46.7083333333333,0.636363636363636,0.636363636363636
"126","Continental Divide Raceway, Dawson Butte and True Mountain",NA,NA,43.1333333333333,0.554545454545455,0.554545454545455
"127","Cory-Merrill",NA,NA,61.1055555555556,0.877272727272727,0.877272727272727
"128","Country Club",NA,NA,26.8571428571429,0.25,0.25
"129","Derby, Southeast Thornton, and Southwest Commerce City",NA,NA,11.43,0.0136363636363636,0.0136363636363636
"130","Dover Square Park",NA,NA,26.68,0.245454545454545,0.245454545454545
"131","East Brighton",NA,NA,37.7975524475524,0.468181818181818,0.468181818181818
"132","East Colfax",NA,NA,19.65,0.0954545454545455,0.0954545454545455
"133","East Columbine",NA,NA,74.0333333333333,0.977272727272727,0.977272727272727
"134","East Roxborough Park",NA,NA,35.7625,0.418181818181818,0.418181818181818
"135","Elk Meadow Park",NA,NA,36.0666666666667,0.431818181818182,0.431818181818182
"136","Elyria Swansea",NA,NA,13.2,0.0272727272727273,0.0272727272727273
"137","Far Horizons",NA,NA,22.3333333333333,0.145454545454545,0.145454545454545
"138","Federal Heights Federal Heights and Sherrelwood",NA,NA,22.4227777777778,0.15,0.15
"139","Five Points",NA,NA,69.7916666666667,0.959090909090909,0.959090909090909
"140","Flatirons and Grant",NA,NA,54.1,0.740909090909091,0.740909090909091
"141","Fort Logan",NA,NA,27,0.259090909090909,0.259090909090909
"142","Fruitdale, Kipling and I-70 & Clearcreek",NA,NA,24.5352092352092,0.213636363636364,0.213636363636364
"143","Garden Acres Park",NA,NA,27.9,0.268181818181818,0.268181818181818
"144","Genesee Park",NA,NA,70.6041666666667,0.963636363636364,0.963636363636364
"145","Globeville",NA,NA,24.2833333333333,0.204545454545455,0.204545454545455
"146","Golden Gate Canyon and Coal Creek Canyon",NA,NA,61.5125,0.886363636363636,0.886363636363636
"147","Goldsmith",NA,NA,53.2333333333333,0.727272727272727,0.727272727272727
"148","Hale",NA,NA,37.475,0.459090909090909,0.459090909090909
"149","Hampden",NA,NA,30.6944444444444,0.318181818181818,0.318181818181818
"150","Hampden South",NA,NA,44.35,0.581818181818182,0.581818181818182
"151","Harriman Lake, Weaver Hollow Park and Blue Heron Park",NA,NA,52.7125,0.722727272727273,0.722727272727273
"152","Highlands Ranch Southeast",NA,NA,58.7025,0.836363636363636,0.836363636363636
"153","Highlands, Prkway, Wood Creek and Hackbrhl",NA,NA,20.7375,0.118181818181818,0.118181818181818
"154","Hilltop",NA,NA,62.0008333333333,0.890909090909091,0.890909090909091
"155","Holly Hills",NA,NA,32.4,0.359090909090909,0.359090909090909
"156","Homestead Park and Columbine",NA,NA,19.90625,0.104545454545455,0.104545454545455
"157","Indian Creek",NA,NA,50.95,0.7,0.7
"158","Lake Arbor",NA,NA,31.65,0.336363636363636,0.336363636363636
"159","Larmar Heights",NA,NA,26.9,0.254545454545455,0.254545454545455
"160","Littleton North",NA,NA,17.7181818181818,0.0636363636363636,0.0636363636363636
"161","Lowry Field",NA,NA,38.9166666666667,0.495454545454545,0.495454545454545
"162","Mapleton Hill, Newlands, and Juniper / Kalmia",NA,NA,72.1,0.968181818181818,0.968181818181818
"163","Marston",NA,NA,29.1333333333333,0.295454545454545,0.295454545454545
"164","Martin Acres, Majestic Heights, and Superior",NA,NA,66.7292582417582,0.931818181818182,0.931818181818182
"165","McIntosh Park",NA,NA,54.2083333333333,0.75,0.75
"166","Mission Viejo",NA,NA,35.7833333333333,0.422727272727273,0.422727272727273
"167","Mitchell Culch Park",NA,NA,30.475,0.313636363636364,0.313636363636364
"168","Montclair",NA,NA,31.55,0.327272727272727,0.327272727272727
"169","Montview Park",NA,NA,11.075,0.00909090909090909,0.00909090909090909
"170","Mount Falcon Canyon Park",NA,NA,82.1833333333333,0.995454545454545,0.995454545454545
"171","North Aurora",NA,NA,16.5765,0.0545454545454545,0.0545454545454545
"172","North StandleyLake Open Space Park",NA,NA,54.5525,0.759090909090909,0.759090909090909
"173","Northeast Centennial",NA,NA,53.9736996336996,0.736363636363636,0.736363636363636
"174","Northeast Littleton",NA,NA,40.4690476190476,0.531818181818182,0.531818181818182
"175","Northeast Park Hill",NA,NA,11.6,0.0181818181818182,0.0181818181818182
"176","Northeast Parker",NA,NA,45.2398901098901,0.609090909090909,0.609090909090909
"177","Northwest Arvada",NA,NA,40.8960544217687,0.536363636363636,0.536363636363636
"178","Oakhurst Park, Sherwood Park",NA,NA,44.6099074074074,0.590909090909091,0.590909090909091
"179","Old North Boulder",NA,NA,32.0607142857143,0.345454545454545,0.345454545454545
"180","Parker North and Parker Heights",NA,NA,48.06875,0.659090909090909,0.659090909090909
"181","Platte Park",NA,NA,34.1333333333333,0.395454545454545,0.395454545454545
"182","Quail Crossing Park",NA,NA,46.9666666666667,0.640909090909091,0.640909090909091
"183","Ralston",NA,NA,62.24,0.895454545454546,0.895454545454546
"184","Riverdale Park and South Thornton",NA,NA,28.265,0.286363636363636,0.286363636363636
"185","Roosevelt Park and Sunset Park",NA,NA,20.922,0.127272727272727,0.127272727272727
"186","Rough & Ready Park and Stephen Day Park",NA,NA,43.9428571428571,0.568181818181818,0.568181818181818
"187","Ruby Hill",NA,NA,28.3916666666667,0.290909090909091,0.290909090909091
"188","Scenic Heights",NA,NA,32.0875,0.35,0.35
"189","Sierra Vista",NA,NA,59.2375,0.840909090909091,0.840909090909091
"190","Skiline, Arvada Plaza and Terrace Park",NA,NA,23.4276785714286,0.177272727272727,0.177272727272727
"191","Sloans Lake",NA,NA,24.6011111111111,0.218181818181818,0.218181818181818
"192","South Littleton",NA,NA,65.2,0.913636363636364,0.913636363636364
"193","South Marston Lake",NA,NA,54.537,0.754545454545455,0.754545454545455
"194","South Standley Lake",NA,NA,35.925,0.427272727272727,0.427272727272727
"195","Southeast Boulder",NA,NA,68.8047619047619,0.945454545454545,0.945454545454545
"196","Southeast Broomfield",NA,NA,51.1458333333333,0.713636363636364,0.713636363636364
"197","Southeast Lafayette",NA,NA,50.871875,0.695454545454545,0.695454545454545
"198","Southwest Longmont",NA,NA,61.2135416666667,0.881818181818182,0.881818181818182
"199","Southwest Standley Lake",NA,NA,37.6125,0.463636363636364,0.463636363636364
"200","Speer",NA,NA,69.4011904761905,0.954545454545455,0.954545454545455
"201","Sullivan",NA,NA,88.3083333333333,1,1
"202","Summer Valley Park",NA,NA,37.3877976190476,0.445454545454545,0.445454545454545
"203","Sun Valley",NA,NA,19.05,0.0863636363636364,0.0863636363636364
"204","University",NA,NA,56.5166666666667,0.809090909090909,0.809090909090909
"205","University Hills(Denver County)",NA,NA,59.3833333333333,0.845454545454545,0.845454545454545
"206","University Park",NA,NA,67.45,0.936363636363636,0.936363636363636
"207","Villa Park",NA,NA,20.8875,0.122727272727273,0.122727272727273
"208","Virginia Village",NA,NA,38.9380952380952,0.5,0.5
"209","Washington Park West",NA,NA,44.3088888888889,0.577272727272727,0.577272727272727
"210","Wayside Meadows Park",NA,NA,51.0950892857143,0.709090909090909,0.709090909090909
"211","Welby and East North Washington",NA,NA,28.2410714285714,0.281818181818182,0.281818181818182
"212","Wellshire",NA,NA,80.0083333333333,0.986363636363636,0.986363636363636
"213","West Brighton",NA,NA,27.9092857142857,0.272727272727273,0.272727272727273
"214","West Centennial",NA,NA,62.9869444444444,0.9,0.9
"215","West Erie",NA,NA,55.8583333333333,0.795454545454545,0.795454545454545
"216","West Highland",NA,NA,34.5425925925926,0.404545454545455,0.404545454545455
"217","West Northglenn",NA,NA,32.6666666666667,0.368181818181818,0.368181818181818
"218","West Pike National Forest",NA,NA,66.5,0.927272727272727,0.927272727272727
"219","Westminster Center Park",NA,NA,19.0983333333333,0.0909090909090909,0.0909090909090909
"220","Westwoods Park",NA,NA,73.525,0.972727272727273,0.972727272727273
"221","Whisper Creek",NA,NA,68.075,0.940909090909091,0.940909090909091
"222","Wonderland, Boulder Meadows, and Catalpa Park",NA,NA,44.8039682539683,0.6,0.6
"223","Yankee Doodle Park, Ralston Vally and Apex",NA,NA,50,0.672727272727273,0.672727272727273
